timestamp,rss_kib,process_swap_kib,gpu_used_mib,gpu_temp_c,read_bytes,system_pswpin,system_pswpout
1788803496,11580,0,1658,51,0,44830185,85212742
1788803497,357140,0,1820,52,27607040,44830196,85212742
1788803498,813192,0,5638,52,522768384,44830226,85233218
1788803499,1258888,0,5638,53,981491712,44830389,85250684
1788803500,1677256,0,5638,53,1413025792,44830432,85264983
1788803501,2622488,0,5638,53,2414911488,44830554,85300605
1788803502,4019096,0,5638,53,3852165120,44830584,85323859
1788803503,3921788,0,9078,53,4066226176,44830834,85341727
1788803504,5520888,0,9098,53,5649965056,44830852,85341727
1788803505,5314128,0,10456,53,6385008640,44831192,85341727
1788803506,4494784,0,10456,53,6401175552,44831263,85341727
1788803507,5251264,0,10490,53,7339401216,44831703,85341727
1788803508,5362620,0,10496,53,7404707840,44831756,85341727
1788803509,5362620,0,10496,53,7404707840,44832196,85341727
1788803510,5362620,0,10496,53,7404707840,44832234,85341727
1788803511,5362620,0,10496,54,7404707840,44832707,85341727
1788803512,5362620,0,10496,54,7404707840,44832729,85341727
1788803513,5362620,0,10496,54,7404707840,44832831,85341727
1788803514,5362620,0,10496,54,7404707840,44832835,85341727
1788803515,5362620,0,10496,54,7404707840,44832918,85341727
1788803516,5362620,0,10496,54,7404707840,44832933,85341727
1788803517,5362620,0,10496,54,7404707840,44832944,85341727
1788803518,5362620,0,10496,54,7404707840,44833012,85341727
1788803519,5362620,0,10496,54,7404707840,44833106,85341727
1788803521,5362620,0,10496,54,7404707840,44833120,85341727
1788803522,5362620,0,10496,54,7404707840,44833122,85341727
1788803523,5362624,0,10496,54,7404707840,44833135,85341727
1788803524,5362624,0,10496,54,7404707840,44833140,85341727
1788803525,5362624,0,10496,54,7404707840,44833186,85341727
1788803526,5362624,0,10496,54,7404707840,44833205,85341727
1788803527,5362624,0,10496,54,7404707840,44833316,85341727
1788803528,5362624,0,10496,54,7404707840,44833438,85341727
1788803529,5362624,0,10496,54,7404707840,44833472,85341727
1788803530,5362624,0,10496,54,7404707840,44833487,85341727
1788803531,5362624,0,10496,54,7404707840,44833511,85341727
1788803532,5362624,0,10496,54,7404707840,44833640,85341727
1788803533,5362624,0,10496,54,7404707840,44833654,85341727
1788803534,5362624,0,10496,54,7404707840,44833660,85341727
1788803535,5362624,0,10496,54,7404707840,44833681,85341727
1788803536,5362624,0,10496,54,7404707840,44833695,85341727
1788803537,5362624,0,10496,54,7404707840,44833737,85341727
1788803538,5362800,0,10496,54,7404843008,44833792,85341727
1788803539,5359344,0,10496,54,7404843008,44833861,85341727
1788803540,5290224,0,10496,54,7404843008,44833870,85341727
1788803541,5290224,0,10496,54,7404843008,44833928,85341727
1788803542,5290224,0,10496,54,7404843008,44833961,85341727
1788803543,5290224,0,10496,54,7404843008,44834042,85341727
1788803545,5290224,0,10496,54,7404843008,44834105,85341727
1788803546,5290224,0,10496,54,7404843008,44834133,85341727
1788803547,5290224,0,10497,54,7404843008,44834163,85341727
1788803548,5290224,0,10497,54,7404843008,44834197,85341727
1788803549,5290224,0,10497,54,7404843008,44834220,85341727
1788803550,5290224,0,10497,54,7404843008,44834291,85341727
1788803551,5290224,0,10497,54,7404843008,44834302,85341727
1788803552,5290224,0,10497,54,7404843008,44834396,85341727
1788803553,5290224,0,10497,54,7404843008,44834407,85341727
1788803554,5290224,0,10497,54,7404843008,44834489,85341727
1788803555,5290224,0,10497,54,7404843008,44834525,85341727
1788803556,5290224,0,10497,54,7404843008,44834535,85341727
1788803557,5290260,0,10497,54,7404843008,44834856,85341727
1788803558,5290260,0,10497,54,7404843008,44835306,85341727
1788803559,5290260,0,10497,54,7404843008,44835383,85341727
1788803560,5290260,0,10497,54,7404843008,44835660,85341727
1788803561,5290260,0,10497,54,7404843008,44835707,85341727
1788803562,5290260,0,10497,54,7404843008,44835715,85341727
1788803563,5290260,0,10497,54,7404843008,44835768,85341727
1788803564,5290260,0,10497,54,7404843008,44835788,85341727
1788803565,5290260,0,10497,54,7404843008,44835921,85341727
1788803566,5290260,0,10497,54,7404843008,44835924,85341727
1788803568,5290260,0,10497,54,7404843008,44836239,85341727
1788803569,5995196,0,10511,55,7716249600,44836337,85341727
1788803570,7164092,0,10519,55,8373739520,44836353,85341727
1788803571,8247288,0,10519,55,9106034688,44836408,85341727
1788803572,9302988,0,10519,55,9770524672,44836449,85341727
1788803573,10132172,0,10519,55,10451632128,44836464,85341727
1788803574,11361480,0,10519,55,11163115520,44836502,85341727
1788803575,12517056,0,10519,55,11906478080,44836561,85341727
1788803576,13670396,0,10519,55,12630757376,44836582,85341727
1788803577,14767756,0,10518,55,13417701376,44836643,85341727
1788803578,15799560,0,10518,56,14241120256,44836666,85341727
1788803579,17401504,0,10518,56,15043829760,44836725,85341727
1788803580,19078508,0,10518,56,15926345728,44836740,85341727
1788803581,20118932,0,10518,56,16499408896,44836757,85341727
1788803582,20178868,0,10518,56,16519118848,44836820,85341727
