EXP-021 fused dequant+GEMM prototype, single pinned core, -O3 -march=native (AVX2+FMA)
weight rows R=768, Ny tokens per row, per-(row,token) times in ns

=== iq2_s (activation type q8_K) ===
     K  rows   Ny |  cur ns/dot | fused ns/dot | speedup | maxdiff
  2048   768    1 |      134.40 |       155.76 |   0.86x | 0.00e+00
  2048   768    2 |      134.24 |        98.49 |   1.36x | 0.00e+00
  2048   768    4 |      132.58 |        71.92 |   1.84x | 0.00e+00
  2048   768    8 |      136.25 |        58.17 |   2.34x | 0.00e+00
  2048   768   16 |      132.71 |        51.53 |   2.58x | 0.00e+00
  2048   768   32 |      134.29 |        48.10 |   2.79x | 0.00e+00
  2048   768   64 |      134.16 |        46.06 |   2.91x | 0.00e+00
  4096   768    1 |      259.00 |       307.20 |   0.84x | 0.00e+00
  4096   768    2 |      258.03 |       196.71 |   1.31x | 0.00e+00
  4096   768    4 |      259.69 |       142.95 |   1.82x | 0.00e+00
  4096   768    8 |      256.75 |       112.85 |   2.28x | 0.00e+00
  4096   768   16 |      259.70 |        98.30 |   2.64x | 0.00e+00
  4096   768   32 |      260.81 |        91.73 |   2.84x | 0.00e+00
  4096   768   64 |      264.96 |        92.40 |   2.87x | 0.00e+00

=== iq4nl (activation type q8_0) ===
     K  rows   Ny |  cur ns/dot | fused ns/dot | speedup | maxdiff
  2048   768    1 |       85.96 |       257.95 |   0.33x | 0.00e+00
  2048   768    2 |       85.18 |       158.07 |   0.54x | 0.00e+00
  2048   768    4 |       86.22 |       106.34 |   0.81x | 0.00e+00
  2048   768    8 |       85.59 |        83.21 |   1.03x | 0.00e+00
  2048   768   16 |       85.40 |        70.72 |   1.21x | 0.00e+00
  2048   768   32 |       85.66 |        65.63 |   1.31x | 0.00e+00
  2048   768   64 |       85.22 |        62.10 |   1.37x | 0.00e+00
  4096   768    1 |      165.70 |       550.13 |   0.30x | 0.00e+00
  4096   768    2 |      164.04 |       384.66 |   0.43x | 0.00e+00
  4096   768    4 |      168.14 |       216.48 |   0.78x | 0.00e+00
  4096   768    8 |      164.94 |       163.36 |   1.01x | 0.00e+00
  4096   768   16 |      165.75 |       134.84 |   1.23x | 0.00e+00
  4096   768   32 |      164.58 |       122.01 |   1.35x | 0.00e+00
  4096   768   64 |      165.32 |       117.08 |   1.41x | 0.00e+00
